Country Name,year,value
Zambia,2012,1.87
Zambia,2013,1.78
Zambia,2014,1.87
Zambia,2015,1.87
Zambia,2016,1.82
Zambia,2017,1.86
Zambia,2018,1.84
Zambia,2019,1.84
Zambia,2020,1.81
Zambia,2021,2.03
