Country Name,year,value
Botswana,2012,1.87
Botswana,2013,1.88
Botswana,2014,2
Botswana,2015,1.89
Botswana,2016,1.84
Botswana,2017,1.86
Botswana,2018,1.91
Botswana,2019,1.9
Botswana,2020,1.9
Botswana,2021,1.9
