Country Name,year,value
Botswana,2012,0.664
Botswana,2013,0.676
Botswana,2014,0.683
Botswana,2015,0.688
Botswana,2016,0.697
Botswana,2017,0.705
Botswana,2018,0.7
Botswana,2019,0.703
Botswana,2020,0.701
Botswana,2021,0.68
